id,name,class,level,complexity,effectText,targetConstraints,alwaysHits,attackRollFormula,saveType,saveFormula,saveOutcome,damageFormula,damageType,appliesCondition,conditionDuration,duration,rangeFormula,targetType,areaShape,areaSizeFormula,statModifiers,components,specialRules,notes,schema
blindness_deafness_war_2,Blindness / Deafness,WAR,2,S,Strips away one sense from target,visibleTarget,FALSE,,resist,DC12+LVL,negates,,,blinded,LVL@round,LVL@round,20+LVL*5@ft,one,none,none,,,chooseSense:blindnessOrDeafness,Deafness condition not defined in your provided conditions list,
blood_remembers_war_2,Blood Remembers,WAR,2,S,Blood resonates with a creature tied to past harm or magic,selfOnly,FALSE,,,,,,,,,LVL@min,self,self,none,none,,,linkedToOneCreature:TRUE,,Damage rule:
boom_war_3,Boom,WAR,3,S,Air collapses then detonates violently,areaTargets,FALSE,,dodge,DC14+LVL,half,2dLVL+LVL*2,none,,,instant,100+LVL*5@ft,area,radius,30+LVL*5@ft,,,,Damage type not specified in provided text,If damageFormula present → damageType required.
boom_wiz_5,Boom,WIZ,5,C,Air collapses then detonates in fireball,areaTargets,FALSE,,dodge,DC14+LVL,half,2dLVL+LVL*2,fire,,,instant,100+LVL*5@ft,area,radius,30+LVL*5@ft,,1g Sulphur,,,If no damageFormula → both damage fields blank.
burden_of_sin_pri_3,Burden of Sin,PRI,3,C,Lasting divine curse weighs upon target,visibleTarget,FALSE,,resist,DC13+LVL,negates,,,,,LVL@min,25+LVL*5@ft,one,none,none,,Holy Symbol;Ash or Chalk Mark,deity:Abaddon;Abraxis;Balangao;Div-e Sepid;Hastur;Khione;Laverna;Lillith;Nyogtha;Quirinus;The Bloom;Utu;Y’golonac,,
create_more_time_wiz_4,Create More Time,WIZ,4,C,Grants extra Large Action to willing target,willingTarget,FALSE,,,,,,,,,instant,20+LVL*5@ft,one,none,none,LA:+1,1g Quartz,,,Condition rule:
create_time_wiz_2,Create Time,WIZ,2,S,Grants extra Small Action to willing target,willingTarget,FALSE,,,,,,,,,instant,20+LVL*5@ft,one,none,none,SA:+1,,,,If appliesCondition present → conditionDuration required.
darkness_war_1,Darkness,WAR,1,S,Supernatural darkness extinguishes normal light in an area,,FALSE,,,,,,,,,LVL@round,20+LVL*5@ft,area,radius,20+LVL*5@ft,,,lightExtinguished:normal;darkness:supernatural,,If none → both blank.
defying_gravity_war_1,Defying Gravity,WAR,1,S,Move across walls and ceilings unnaturally,selfOnly,FALSE,,,,,,,,,LVL@min,self,self,none,none,,,movement:wallsAndCeilings,,
defying_gravity_wiz_2,Defying Gravity,WIZ,2,S,Target moves on walls/ceilings like floor,willingTarget,FALSE,,,,,,,,,LVL@min,touch,one,none,none,,,movement:wallsAndCeilings,,Targeting rule:
deluge_can,Deluge,CAN,1,S,A small raincloud (5 foot square) appears and rains heavily,,FALSE,,,,,,,,,LVL@round,20+LVL*5@ft,area,square,5@ft,,,extinguishFireIfOverTarget:TRUE,,If spell selects creature/object → targetConstraints required.
detect_undead_pri_2,Detect Undead,PRI,2,S,Caster becomes aware of undead nearby,,FALSE,,,,,,,,,instant,50+LVL*5@ft,area,none,none,,Holy Symbol,deity:All,Awareness only,If environmental/area/self field → targetConstraints blank.
elemental_ward_pri_2,Elemental Ward,PRI,2,S,Wards target against a chosen elemental force,willingTarget,FALSE,,,,,,,,,LVL@min,touch,one,none,none,,Holy Symbol,deity:All;chooseElement:fire/ice/electric/acid,,
fear_of_god_pri_2,Fear of God,PRI,2,S,Targets suffer attack penalty; save or become Shaken,hostileTargets,FALSE,,resist,DC12+LVL,negates,,,shaken,LVL@min,LVL@min,20+LVL*5@ft,area,none,none,ATK:-1,Holy Symbol,deity:All;penaltyAppliesRegardlessOfSave:TRUE,,Area rule:
fire_can,Fire,CAN,1,S,"An orb of flame appears and flies at the target, which must be seen by the caster",visibleTarget,TRUE,,dodge,DC10+LVL,half,LVL+1,fire,,,instant,20+LVL*5@ft,one,none,none,,,,Always hits per source,areaShape/areaSize only used when targetType = area.
forcefield_wiz_3,Forcefield,WIZ,3,S,Invisible forcefield adds TAC and stops magic projectiles,willingTarget,FALSE,,,,,,,,,LVL@min,touch,one,none,none,TAC:+2,,stopsMagicProjectiles:TRUE,,
franks_lament_pri_2,Frank’s Lament,PRI,2,S,Chains assault target; deals damage; inflicts Shaken,visibleTarget,FALSE,,resist,DC12+LVL,negates,1dLVL,BPS,shaken,LVL@min,instant,25+LVL*5@ft,one,none,none,,Holy Symbol,deity:Abaddon;Balangao;Baphomet;Halphas;Laverna;Quirinus;Y’golonac;Zvilpogghua,,Stat modifiers:
glow_can,Glow,CAN,1,S,An item touched glows with soft light for a 20 foot diameter sphere,touchItem,FALSE,,,,,,,,,LVL*10@min,touch,one,radius,10@ft,,,,Source row includes a Dodge DC line; preserved as note: “DC10+LVL Dodge for 1/2”,"Only numeric mechanical effects (ex: TAC:+2, ATK:-1)."
gravitys_mercy_wiz_1,Gravity’s Mercy,WIZ,1,S,Slows a fall to prevent catastrophic impact,fallingTarget,FALSE,,,,,,,,,instant,20+LVL*5@ft,one,none,none,,,,,
hand_of_god_pri_3,Hand of God,PRI,3,C,Attack and damage increased with deity blessing,selfOnly,FALSE,,,,,,,,,LVL@round,self,self,none,none,,Holy Symbol;Holy Book Page,deity:All;attackBuff:TRUE;damageBuff:TRUE,Magnitudes not specified in provided text,components/specialRules/notes:
hand_of_uri_can,Hand of Uri,CAN,1,S,Can lift/move an object of up to 5 pounds,,FALSE,,,,,,,,,instant,20+LVL*5@ft,one,none,none,,,weightLimit:5lb,,Optional free text; no mechanics hidden outside schema.
ice_can,Ice,CAN,1,S,"An orb of ice appears and flies at the target, which must be seen by the caster",visibleTarget,TRUE,,dodge,DC10+LVL,half,LVL+1,ice,,,instant,20+LVL*5@ft,one,none,none,,,,Always hits per source,
invisibility_wiz_3,Invisibility,WIZ,3,C,Target becomes invisible; ends on hostile action,willingTarget,FALSE,,,,,,,,,LVL@round,touch,one,none,none,,1oz Powdered Glass,breaksOnAttackOrSpellOrHostile:TRUE,,
major_heal_pri_4,Major Heal,PRI,4,C,Heals self or willing touched target,willingTarget,FALSE,,,,,3dLVL+LVL*3,none,,,instant,touch,one,none,none,,Holy Symbol;Tea Leaves,deity:All,,
make_thunderstorm_wiz_1,Make Thunderstorm,WIZ,1,S,Raincloud rains; extinguishes fire; lightning strikes,areaTargets,FALSE,,dodge,DC12+LVL,half,1d2,electric,,,LVL@round,LVL@round,20+LVL*5@ft,area,square,5@ft,,,lightningPerRound:1;extinguishFireIfOverTarget:TRUE,
make_wind_can,Make Wind,CAN,1,S,A small breeze blows in a chosen direction; can move smoke/gas toward openings,,FALSE,,,,,,,,,LVL@round,20+LVL*5@ft,area,none,none,,,movesGasOrSmokeTowardOpenings:TRUE,,
marked_by_the_divine_pri_1,Marked by the Divine,PRI,1,S,Divine mark discourages attacks; target gains TAC bonus,willingTarget,FALSE,,,,,,,,,LVL@min,touch,one,none,none,TAC:+1,Holy Symbol,deity:All,,
minor_heal_pri_1,Minor Heal,PRI,1,S,Heals self or willing touched target,willingTarget,FALSE,,,,,1dLVL+LVL,none,,,instant,touch,one,none,none,,Holy Symbol,deity:All,,
minor_heal_war_1,Minor Heal,WAR,1,S,Restores health to self or willing target,willingTarget,FALSE,,,,,1dLVL+LVL,none,,,instant,touch,one,none,none,,,,,
moderate_heal_pri_2,Moderate Heal,PRI,2,S,Heals self or willing touched target,willingTarget,FALSE,,,,,2dLVL+LVL*2,none,,,instant,touch,one,none,none,,Holy Symbol,deity:All,,
moderate_heal_war_2,Moderate Heal,WAR,2,S,Restores significant health to self or willing target,willingTarget,FALSE,,,,,2dLVL+LVL*2,none,,,instant,touch,one,none,none,,,,,
pierce_the_veil_wiz_2,Pierce the Veil,WIZ,2,S,Invisible creatures/objects become visible to caster,selfOnly,FALSE,,,,,,,,,LVL@min,self,self,none,none,,,revealsInvisible:TRUE,,
projectile_war_1,Projectile,WAR,1,S,Magical energy strikes a visible target unerringly,visibleTarget,TRUE,,,,,1dLVL+LVL,none,,,instant,25+LVL*5@ft,one,none,none,,,,Always hits per text,
projectile_wiz_2,Projectile,WIZ,2,S,Always-hit projectile to visible target(s),visibleTargets,TRUE,,,,,1dLVL+LVL,none,,,instant,25+LVL*5@ft,lvlTargets,none,none,,,targetsPerLevel:TRUE,,
projectiles_wiz_3,Projectile(s),WIZ,3,S,Always-hit projectiles; damage per target,visibleTargets,TRUE,,,,,1dLVL+LVL,none,,,instant,25+LVL*5@ft,lvlTargets,none,none,,,targetsPerLevel:TRUE;damagePerTarget:TRUE,,
resist_can,Resist,CAN,1,S,Touched willing target gets +1 to saving throws,willingTarget,FALSE,,,,,,,,,LVL@min,touch,one,none,none,SAVE:+1,,,,
secure_area_wiz_1,Secure Area,WIZ,1,C,Audible alarm when boundary penetrated,,FALSE,,,,,,,,,LVL*2@hour,20+LVL*5@ft,area,none,none,,1in Satin Ribbon,alarmOnEntry:TRUE,,
sight_beyond_light_wiz_2,Sight Beyond Light,WIZ,2,S,Target can see in total darkness,willingTarget,FALSE,,,,,,,,,LVL*10@min,touch,one,none,none,,,darkvisionTotal:TRUE,,
slick_wiz_1,Slick,WIZ,1,S,Slippery ectoplasm causes falls; persists or until dismissed,areaTargets,FALSE,,dodge,DC12+LVL,negates,,,prone,LVL@round,LVL@round,5+LVL*5@ft,area,square,LVL*5@ft,,,dismissible:TRUE,"Range text was complex; normalized to 5+LVL5@ft cast distance, areaSize LVL5@ft",
slow_death_pri_1,Slow Death,PRI,1,S,Stabilizes a dying target when touched with holy symbol,dyingTarget,FALSE,,,,,,,,,instant,touch,one,none,none,,Holy Symbol,deity:All,,
smite_pri_3,Smite,PRI,3,C,Opponents feel vengeance; penalties; possible fear,hostileTargets,FALSE,,resist,DC13+LVL,negates,,,,,LVL@round,25+LVL*5@ft,lvlTargets,none,none,,Holy Symbol,deity:All;targetsPerLevel:TRUE;fearPossible:TRUE,Exact penalties not specified in provided text,
smothering_fog_wiz_1,Smothering Fog,WIZ,1,S,Dense fog obscures vision and movement,,FALSE,,,,,,,fuzzy,LVL@round,LVL@round,20+LVL*5@ft,area,radius,20+LVL*5@ft,,,heavyObscurement:TRUE,,
sounds_of_saturn_can_b,Sounds of Saturn (Dread),CAN,1,S,Fill a target with dread via whispers,visibleTarget,FALSE,,resist,DC10+LVL,negates,,,shaken,LVL@round,LVL@round,20+LVL*5@ft,one,none,none,,,mode:dread,Condition = shaken per your condition list,
stillness_pri_2,Stillness,PRI,2,S,Unnatural quiet suppresses sound in an area,,FALSE,,,,,,,,,LVL@round,self,area,radius,20+LVL*5@ft,,Holy Symbol,deity:All;soundSuppressed:TRUE,,
telepathy_pri_2,Telepathy,PRI,2,S,Aware of a creature’s surface thoughts,visibleTarget,FALSE,,resist,DC12+LVL,negates,,,,,LVL@round,20+LVL*5@ft,one,none,none,,Holy Symbol,deity:Abraxis;Div-e Sepid;Hastur;Laverna;Lillith;The Bloom;Y’golonac,,
theyre_getting_you_wiz_5,They’re Going to Get You,WIZ,5,C,Shadow attacks owner; recurring saves and damage,visibleTarget,FALSE,,resist,DC14+LVL,negates,,,,,LVL@round,20+LVL*5@ft,one,none,none,,1 Ergot Rye Stalk,recurringPerRound:TRUE,Ongoing damage rules require separate recurring fields,
vacuum_of_sound_wiz_3,Vacuum of Sound,WIZ,3,C,Sound suppressed completely in area,,FALSE,,,,,,,,,LVL@round,20+LVL*5@ft,area,radius,20+LVL*5@ft,,1oz Powdered Glass,soundSuppressed:TRUE,,
voice_beneath_skin_war_1,Voice Beneath the Skin,WAR,1,S,Intrusive thoughts or commands forced into target’s mind,visibleTarget,FALSE,,resist,DC11+LVL,negates,,,,,1@round,20+LVL*5@ft,one,none,none,,,,,
voice_from_above_pri_1,Voice From Above,PRI,1,S,Single divine command compels brief obedience,visibleTarget,FALSE,,resist,DC11+LVL,negates,,,,,instant,20+LVL*5@ft,one,none,none,,Holy Symbol,deity:All,,
weavers_trap_wiz_2,Weaver’s Trap,WIZ,2,S,Arcane filaments restrict movement in area,areaTargets,FALSE,,dodge,DC12+LVL,negates,,,,,LVL@round,10+LVL*5@ft,area,square,10+LVL*5@ft,,,movementRestricted:TRUE,Effect details not specified beyond restriction,
weight_of_damnation_pri_2,Weight of Damnation,PRI,2,S,Crushing spiritual weight overwhelms target,visibleTarget,FALSE,,resist,DC12+LVL,negates,,,,,LVL@round,20+LVL*5@ft,one,none,none,,Holy Symbol,deity:Abaddon;Baphomet;Div-e Sepid;Halphas;Khione;Lillith;Nyogtha;Utu;Zvilpogghua,,
weight_of_damnation_war_1,Weight of Damnation,WAR,1,S,Raw terror shakes target’s resolve,visibleTarget,FALSE,,resist,DC11+LVL,negates,,,shaken,LVL@round,LVL@round,20+LVL*5@ft,one,none,none,,,,Uses Shaken condition,
